Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:3.1944980999978725
Value:922.0


Name: .\Provided\4x4\v16_a24_r0_b2.dat
Resolution time:5.227683299999626
Value:968.0


Name: .\Provided\4x4\v16_a24_r0_b4.dat
Resolution time:1.887176800002635
Value:1396.0


Name: .\Provided\4x4\v16_a24_r0_b6.dat
Resolution time:2.150694600000861
Value:1304.0


Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:6.690525400001206
Value:912.0


Name: .\Provided\4x4\v16_a24_r0_b2.dat
Resolution time:4.87436809999781
Value:968.0


Name: .\Provided\4x4\v16_a24_r0_b4.dat
Resolution time:1.2378778999991482
Value:1396.0


Name: .\Provided\4x4\v16_a24_r0_b6.dat
Resolution time:1.1077022000026773
Value:1388.0


Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:3.848621600001934
Value:954.0


Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:5.001326500001596
Value:922.0


Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:4.4839282000029925
Value:912.0


Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:2.2818190999969374
Value:954.0


Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:4.480538899995736
Value:994.0


Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:6.894199099995603
Value:912.0


Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:5.020377399996505
Value:912.0


Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:5.197357199998805
Value:912.0


Name: .\Provided\5x5\v25_a40_r0_b1.dat
Resolution time:41.22183850000147
Value:2696.0


Name: .\Provided\5x5\v25_a40_r0_b6.dat
Resolution time:4.941429700003937
Value:3230.0


Name: .\Provided\5x5\v25_a40_r0_b4.dat
Resolution time:15.232779700003448
Value:3082.0


Name: .\Provided\5x5\v25_a40_r0_b2.dat
Resolution time:29.940077499995823
Value:2748.0


Name: .\Provided\5x5\v25_a40_r0_b2.dat
Resolution time:35.20819289999781
Value:2908.0


Name: .\Provided\5x5\v25_a40_r0_b2.dat
Resolution time:20.79071699999622
Value:2760.0


Name: .\Provided\5x5\v25_a40_r0_b2.dat
Resolution time:14.858717000010074
Value:2870.0


Name: .\Provided\5x5\v25_a40_r0_b1.dat
Resolution time:57.118225699989125
Value:2708.0


Name: .\Provided\5x5\v25_a40_r0_b1.dat
Resolution time:67.7999867000035
Value:2670.0


Name: .\Provided\5x5\v25_a40_r0_b1.dat
Resolution time:41.57026190000761
Value:2678.0


Name: .\Provided\5x5\v25_a40_r0_b4.dat
Resolution time:8.667376700002933
Value:3032.0


Name: .\Provided\5x5\v25_a40_r0_b6.dat
Resolution time:29.231658799995785
Value:3116.0


Name: .\Provided\5x5\v25_a40_r0_b6.dat
Resolution time:14.76089590000629
Value:3172.0


Name: .\Provided\5x5\v25_a40_r0_b6.dat
Resolution time:3.8357314000022598
Value:3230.0


Name: .\Provided\5x5\v25_a40_r0_b6.dat
Resolution time:11.915545600000769
Value:3174.0


Name: .\Provided\5x5\v25_a40_r0_b6.dat
Resolution time:10.862454800007981
Value:3174.0


Name: .\Provided\5x5\v25_a40_r0_b1.dat
Resolution time:37.20000640000217
Value:2710.0


Name: .\Provided\5x5\v25_a40_r0_b1.dat
Resolution time:39.94039839999459
Value:2728.0


Name: .\Provided\5x5\v25_a40_r0_b1.dat
Resolution time:55.09207910000987
Value:2730.0


Name: .\Provided\5x5\v25_a40_r0_b1.dat
Resolution time:37.2804142999812
Value:2698.0


Name: .\Provided\5x5\v25_a40_r0_b1.dat
Resolution time:118.56186879999586
Value:2720.0


Name: .\Provided\5x5\v25_a40_r0_b1.dat
Resolution time:91.36318549999851
Value:2694.0


Name: .\Provided\5x5\v25_a40_r0_b1.dat
Resolution time:128.80021399998805
Value:2638.0


Name: .\Provided\5x5\v25_a40_r0_b1.dat
Resolution time:15.14387450000504
Value:2748.0


Name: .\Provided\5x5\v25_a40_r0_b1.dat
Resolution time:26.79711149999639
Value:2806.0


Name: .\v_9_a12_r0_b0.dat
Resolution time:0.3350951000174973
Value:208.0


Name: .\v_9_a12_r0_b0.dat
Resolution time:0.34076439999989816
Value:208.0


Name: .\v_9_a12_r0_b0.dat
Resolution time:0.20833690000017668
Value:208.0


Name: .\v_9_a12_r0_b0.dat
Resolution time:0.35318089999964286
Value:208.0


Name: .\v_9_a12_r0_b0.dat
Resolution time:0.4434461000000738
Value:208.0


Name: .\Provided\5x5\v25_a40_r0_b1.dat
Resolution time:78.57612229999904
Value:2684.0


Name: .\Provided\5x5\v25_a40_r0_b1.dat
Resolution time:71.48101569999926
Value:2648.0


