Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:2.125571900018258
Value:1272.0


Name: .\Provided\4x4\v16_a24_r0_b2.dat
Resolution time:1.4394636999932118
Value:1172.0


Name: .\Provided\4x4\v16_a24_r0_b4.dat
Resolution time:2.116293700004462
Value:1554.0


Name: .\Provided\4x4\v16_a24_r0_b6.dat
Resolution time:0.9536568000039551
Value:1460.0


Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:1.4323226000124123
Value:1150.0


Name: .\Provided\4x4\v16_a24_r0_b2.dat
Resolution time:1.310477900027763
Value:1176.0


Name: .\Provided\4x4\v16_a24_r0_b4.dat
Resolution time:0.8740418000088539
Value:1416.0


Name: .\Provided\4x4\v16_a24_r0_b6.dat
Resolution time:1.0019074000010733
Value:1472.0


Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:1.1026206000242382
Value:1088.0


Name: .\Provided\4x4\v16_a24_r0_b2.dat
Resolution time:2.6079593999893405
Value:1300.0


Name: .\Provided\4x4\v16_a24_r0_b4.dat
Resolution time:1.3635445999971125
Value:1442.0


Name: .\Provided\4x4\v16_a24_r0_b6.dat
Resolution time:0.6634014000010211
Value:1472.0


Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:1.1809762000048067
Value:1082.0


Name: .\Provided\4x4\v16_a24_r0_b2.dat
Resolution time:1.290379199985182
Value:1162.0


Name: .\Provided\4x4\v16_a24_r0_b4.dat
Resolution time:0.9668481999833602
Value:1514.0


Name: .\Provided\4x4\v16_a24_r0_b6.dat
Resolution time:1.093916200014064
Value:1460.0


Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:1.820105099992361
Value:1186.0


Name: .\Provided\4x4\v16_a24_r0_b2.dat
Resolution time:1.8748530000157189
Value:1234.0


Name: .\Provided\4x4\v16_a24_r0_b4.dat
Resolution time:0.9515021999832243
Value:1420.0


Name: .\Provided\4x4\v16_a24_r0_b6.dat
Resolution time:0.8223784000147134
Value:1472.0


Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:1.6318903999926988
Value:1162.0


Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:4.748784499999601
Value:1342.0


Name: .\Provided\4x4\v16_a24_r0_b2.dat
Resolution time:2.304229300003499
Value:1222.0


Name: .\Provided\4x4\v16_a24_r0_b4.dat
Resolution time:3.205100899998797
Value:1588.0


Name: .\Provided\4x4\v16_a24_r0_b6.dat
Resolution time:0.933410300000105
Value:1472.0


