Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:3.1693101999990176
Value:976.0


Name: .\Provided\4x4\v16_a24_r0_b2.dat
Resolution time:2.7918408999976236
Value:1044.0


Name: .\Provided\4x4\v16_a24_r0_b4.dat
Resolution time:1.1706964999902993
Value:1394.0


Name: .\Provided\4x4\v16_a24_r0_b6.dat
Resolution time:1.0872418000071775
Value:1388.0


Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:2.7043846000160556
Value:950.0


Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:7.642473900021287
Value:970.0


Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:6.553693800000474
Value:912.0


Name: .\Provided\4x4\v16_a24_r0_b2.dat
Resolution time:5.41649440000765
Value:968.0


Name: .\Provided\4x4\v16_a24_r0_b4.dat
Resolution time:1.2596659999981057
Value:1396.0


Name: .\Provided\4x4\v16_a24_r0_b6.dat
Resolution time:2.098486699978821
Value:1304.0


Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:4.0143421000102535
Value:922.0


Name: .\Provided\4x4\v16_a24_r0_b2.dat
Resolution time:5.204854600015096
Value:968.0


Name: .\Provided\4x4\v16_a24_r0_b4.dat
Resolution time:1.824541300011333
Value:1396.0


Name: .\Provided\4x4\v16_a24_r0_b6.dat
Resolution time:2.0768550999928266
Value:1304.0


Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:4.609963499999992
Value:952.0


Name: .\Provided\4x4\v16_a24_r0_b2.dat
Resolution time:8.356346200000019
Value:968.0


Name: .\Provided\4x4\v16_a24_r0_b4.dat
Resolution time:2.333841700000022
Value:1394.0


Name: .\Provided\4x4\v16_a24_r0_b6.dat
Resolution time:3.1122244000000023
Value:1304.0


