Name: .\Provided\3x3\.ipynb_checkpoints\v9_a12_r0_b2-checkpoint.dat
Resolution time:0.031451300004846416
Value:284
first value:284


Name: .\Provided\3x3\v9_a12_r0_b1.dat
Resolution time:0.07628449999901932
Value:246
first value:246


Name: .\Provided\3x3\v9_a12_r0_b2.dat
Resolution time:0.032441000003018416
Value:284
first value:284


Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:1.5732074999978067
Value:944
first value:1118


Name: .\Provided\4x4\v16_a24_r0_b2.dat
Resolution time:1.1880003999976907
Value:1018
first value:1174


Name: .\Provided\4x4\v16_a24_r0_b4.dat
Resolution time:0.4895010000036564
Value:1396
first value:1514


Name: .\Provided\4x4\v16_a24_r0_b6.dat
Resolution time:0.26743910000368487
Value:1388
first value:1460


Name: .\Provided\5x5\v25_a40_r0_b1.dat
Resolution time:49.36474359998829
Value:2678
first value:3880


Name: .\Provided\5x5\v25_a40_r0_b2.dat
Resolution time:28.236753499993938
Value:2816
first value:3914


Name: .\Provided\5x5\v25_a40_r0_b4.dat
Resolution time:16.408001100004185
Value:3082
first value:4370


Name: .\Provided\5x5\v25_a40_r0_b6.dat
Resolution time:39.079715999992914
Value:3116
first value:4060


Name: .\Provided\6x6\v36_a60_r0_b6.dat
Resolution time:297.8417921000073
Value:7334
first value:11226


Name: .\Provided\6x6\v36_a60_r0_b4.dat
Resolution time:610.5232293000008
Value:6900
first value:12112


Name: .\Provided\6x6\v36_a60_r0_b2.dat
Resolution time:871.2014111000026
Value:6380
first value:11172


Name: .\Provided\6x6\v36_a60_r0_b1.dat
Resolution time:1213.4449269000033
Value:6364
first value:10826


