Name: .\Generated\10x10\v_100_a360_r0_b4.dat
Resolution time:126.95120839998708
Value:219056
first value:222948


Name: .\Generated\10x10\v_100_a360_r0_b2.dat
Resolution time:126.97098479999113
Value:219056
first value:222948


Name: .\Generated\10x10\v_100_a360_r0_b1.dat
Resolution time:127.07533580000745
Value:219056
first value:222948


Name: .\Generated\7x7\v_49_a168_r0_b1.dat
Resolution time:120.60187340000994
Value:24470
first value:25702


Name: .\Generated\7x7\v_49_a168_r0_b2.dat
Resolution time:120.62067509998451
Value:24470
first value:25702


Name: .\Generated\7x7\v_49_a168_r0_b4.dat
Resolution time:120.58276009999099
Value:24470
first value:25702


Name: .\Generated\8x8\v_64_a224_r0_b1.dat
Resolution time:121.37289080000482
Value:53570
first value:54978


Name: .\Generated\8x8\v_64_a224_r0_b2.dat
Resolution time:121.44467950001126
Value:53570
first value:54978


Name: .\Generated\8x8\v_64_a224_r0_b4.dat
Resolution time:121.4111676000175
Value:53570
first value:54978


Name: .\Generated\9x9\v_81_a288_r0_b4.dat
Resolution time:122.50439200000255
Value:107364
first value:109048


Name: .\Generated\9x9\v_81_a288_r0_b2.dat
Resolution time:122.53706209998927
Value:107364
first value:109048


Name: .\Generated\9x9\v_81_a288_r0_b1.dat
Resolution time:122.65145129998564
Value:107364
first value:109048


