Name: .\Provided\3x3\.ipynb_checkpoints\v9_a12_r0_b2-checkpoint.dat
Resolution time:0.14441209999495186
Value:284.0
first value:284.0


Name: .\Provided\3x3\v9_a12_r0_b1.dat
Resolution time:0.2793682000046829
Value:246.0
first value:246.0


Name: .\Provided\3x3\v9_a12_r0_b2.dat
Resolution time:0.30120000000169966
Value:284.0
first value:284.0


Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:3.732289099993068
Value:944.0
first value:1118.0


Name: .\Provided\4x4\v16_a24_r0_b2.dat
Resolution time:2.5089261999964947
Value:1018.0
first value:1174.0


Name: .\Provided\4x4\v16_a24_r0_b4.dat
Resolution time:1.063658300001407
Value:1396.0
first value:1514.0


Name: .\Provided\4x4\v16_a24_r0_b6.dat
Resolution time:0.6507530999951996
Value:1388.0
first value:1460.0


Name: .\Provided\5x5\v25_a40_r0_b1.dat
Resolution time:39.02378509999835
Value:2678.0
first value:3880.0


Name: .\Provided\5x5\v25_a40_r0_b2.dat
Resolution time:22.15883839999151
Value:2816.0
first value:3914.0


Name: .\Provided\5x5\v25_a40_r0_b4.dat
Resolution time:11.983333900003345
Value:3082.0
first value:4370.0


Name: .\Provided\5x5\v25_a40_r0_b6.dat
Resolution time:31.950161799992202
Value:3116.0
first value:4060.0


Name: .\Provided\6x6\v36_a60_r0_b1.dat
Resolution time:728.7333375000017
Value:6364.0
first value:10826.0


Name: .\Provided\6x6\v36_a60_r0_b2.dat
Resolution time:460.26227089999884
Value:6380.0
first value:11172.0


Name: .\Provided\6x6\v36_a60_r0_b4.dat
Resolution time:330.2581768999953
Value:6900.0
first value:12112.0


Name: .\Provided\6x6\v36_a60_r0_b6.dat
Resolution time:144.9144959999976
Value:7334.0
first value:11226.0


