Name: .\Generated\10x10\v_100_a360_r0_b2.dat
Resolution time:120.320928000001
Value:219056.0
first value:222948.0


Name: .\Generated\10x10\v_100_a360_r0_b1.dat
Resolution time:120.38772640001844
Value:219056.0
first value:222948.0


Name: .\Generated\10x10\v_100_a360_r0_b4.dat
Resolution time:120.41363180000917
Value:219056.0
first value:222948.0


Name: .\Generated\7x7\v_49_a168_r0_b1.dat
Resolution time:120.0767279000138
Value:24470.0
first value:25702.0


Name: .\Generated\7x7\v_49_a168_r0_b4.dat
Resolution time:120.08302419999382
Value:24470.0
first value:25702.0


Name: .\Generated\7x7\v_49_a168_r0_b2.dat
Resolution time:120.08486350000021
Value:24470.0
first value:25702.0


Name: .\Generated\8x8\v_64_a224_r0_b1.dat
Resolution time:120.08606140001211
Value:53570.0
first value:54978.0


Name: .\Generated\8x8\v_64_a224_r0_b2.dat
Resolution time:120.11310029999004
Value:53570.0
first value:54978.0


Name: .\Generated\8x8\v_64_a224_r0_b4.dat
Resolution time:120.14324530001613
Value:53570.0
first value:54978.0


Name: .\Generated\9x9\v_81_a288_r0_b2.dat
Resolution time:120.00000080000609
Value:109048.0
first value:109048.0


Name: .\Generated\9x9\v_81_a288_r0_b4.dat
Resolution time:120.15305640001316
Value:107364.0
first value:109048.0


Name: .\Generated\9x9\v_81_a288_r0_b1.dat
Resolution time:120.15533999999752
Value:107364.0
first value:109048.0


