Name: .\Provided\3x3\v9_a12_r0_b2.dat
Resolution time:0.08032700000330806
Value:284.0
first value:284.0


Name: .\Provided\3x3\v9_a12_r0_b1.dat
Resolution time:0.09764469999936409
Value:246.0
first value:246.0



Name: .\Provided\4x4\v16_a24_r0_b6.dat
Resolution time:0.7041674000065541
Value:1388.0
first value:1460.0


Name: .\Provided\4x4\v16_a24_r0_b4.dat
Resolution time:0.8513110000058077
Value:1396.0
first value:1514.0


Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:1.6704299000120955
Value:944.0
first value:1118.0


Name: .\Provided\4x4\v16_a24_r0_b2.dat
Resolution time:1.6590204000094673
Value:1018.0
first value:1174.0


Name: .\Provided\5x5\v25_a40_r0_b4.dat
Resolution time:14.028210599994054
Value:3082.0
first value:4370.0


Name: .\Provided\5x5\v25_a40_r0_b2.dat
Resolution time:22.49876669999503
Value:2816.0
first value:3914.0


Name: .\Provided\5x5\v25_a40_r0_b6.dat
Resolution time:29.587422700002207
Value:3116.0
first value:4060.0


Name: .\Provided\5x5\v25_a40_r0_b1.dat
Resolution time:35.243223400000716
Value:2678.0
first value:3880.0


Name: .\Provided\6x6\v36_a60_r0_b6.dat
Resolution time:144.7945350999944
Value:7334.0
first value:11226.0


Name: .\Provided\6x6\v36_a60_r0_b4.dat
Resolution time:322.35301269999763
Value:6900.0
first value:12112.0


Name: .\Provided\6x6\v36_a60_r0_b2.dat
Resolution time:430.87618320000183
Value:6380.0
first value:11172.0


Name: .\Provided\6x6\v36_a60_r0_b1.dat
Resolution time:641.5341768000071
Value:6364.0
first value:10826.0


