Name: .\Provided\3x3\.ipynb_checkpoints\v9_a12_r0_b2-checkpoint.dat
Resolution time:0.10898450000968296
Value:284.0
first value:284.0


Name: .\Provided\3x3\v9_a12_r0_b1.dat
Resolution time:0.15990810000221245
Value:246.0
first value:246.0


Name: .\Provided\3x3\v9_a12_r0_b2.dat
Resolution time:0.11174330000358168
Value:284.0
first value:284.0


Name: .\Provided\4x4\v16_a24_r0_b1.dat
Resolution time:2.5039921999996295
Value:944.0
first value:1118.0


Name: .\Provided\4x4\v16_a24_r0_b2.dat
Resolution time:2.599630700002308
Value:1018.0
first value:1174.0


Name: .\Provided\4x4\v16_a24_r0_b4.dat
Resolution time:1.3305325000110315
Value:1396.0
first value:1514.0


Name: .\Provided\4x4\v16_a24_r0_b6.dat
Resolution time:0.7731652000074973
Value:1388.0
first value:1460.0


Name: .\Provided\5x5\v25_a40_r0_b1.dat
Resolution time:63.853870399994776
Value:2678.0
first value:3880.0


Name: .\Provided\5x5\v25_a40_r0_b2.dat
Resolution time:33.2166115
Value:2816.0
first value:3914.0


Name: .\Provided\5x5\v25_a40_r0_b4.dat
Resolution time:19.810874800008605
Value:3082.0
first value:4370.0


Name: .\Provided\5x5\v25_a40_r0_b6.dat
Resolution time:35.09144639999431
Value:3116.0
first value:4060.0


Name: .\Provided\6x6\v36_a60_r0_b6.dat
Resolution time:266.5617452000006
Value:7334.0
first value:11226.0


Name: .\Provided\6x6\v36_a60_r0_b4.dat
Resolution time:524.6333079000033
Value:6900.0
first value:12112.0


Name: .\Provided\6x6\v36_a60_r0_b2.dat
Resolution time:719.9422029999987
Value:6380.0
first value:11172.0


Name: .\Provided\6x6\v36_a60_r0_b1.dat
Resolution time:998.1278637999931
Value:6364.0
first value:10826.0


